credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary
753,1,1,57.0,7,0.0,1,1,0,159475.08
739,3,1,32.0,3,102128.27,1,1,0,63981.37
755,3,2,37.0,0,113865.23,2,1,1,117396.25
561,1,1,37.0,5,0.0,2,1,0,83093.25
692,3,1,49.0,6,110540.43,2,0,1,107472.99
659,1,2,38.0,9,0.0,2,1,1,132809.18
782,1,1,34.0,9,0.0,1,1,0,183021.06
546,1,1,24.0,8,156325.38,1,1,1,125381.02
756,3,1,41.0,2,124439.49,2,0,1,47093.11
685,2,1,34.0,6,83264.28,1,0,0,9663.28
531,1,2,53.0,5,127642.44,1,1,0,141501.45
560,1,2,31.0,3,115141.18,1,1,0,39806.75
733,2,2,31.0,9,102289.85,1,1,1,115441.66
674,3,2,27.0,4,111568.01,1,0,1,22026.18
644,2,1,37.0,9,0.0,2,1,1,96442.86
695,2,1,32.0,9,0.0,3,0,1,38533.79
750,3,1,42.0,8,151836.36,2,1,0,68695.38
754,3,1,35.0,6,98585.94,2,0,1,106116.84
744,2,1,34.0,3,0.0,2,1,0,27244.35
588,2,2,22.0,9,67178.19,1,1,1,163534.75
696,1,1,44.0,8,161889.79,1,0,0,75562.47
774,1,2,52.0,2,56580.93,1,1,0,113266.28
704,1,1,31.0,0,0.0,2,1,0,183038.33
723,1,1,48.0,7,0.0,2,1,1,150694.58
536,1,1,46.0,1,65733.41,1,1,0,61094.53
691,2,1,35.0,6,0.0,2,0,1,178038.17
611,3,2,40.0,7,128486.91,2,1,0,10109.47
691,3,1,30.0,7,101231.77,2,0,0,156529.44
659,3,1,34.0,9,134464.58,2,1,0,178833.34
711,1,2,29.0,9,0.0,2,0,1,3234.8
559,2,1,24.0,3,114739.92,1,1,0,85891.02
716,1,2,44.0,3,109528.28,1,1,0,27341.63
583,1,1,48.0,3,91246.53,1,1,0,60017.46
593,1,2,41.0,6,0.0,1,1,0,65170.66
824,3,1,60.0,8,134250.17,3,0,0,153046.16
567,1,2,48.0,3,0.0,1,1,0,55362.45
552,1,1,33.0,5,140931.57,1,0,1,10921.5
564,1,2,27.0,6,0.0,1,0,0,7819.76
756,1,2,42.0,9,0.0,2,1,0,35673.42
733,2,2,32.0,5,0.0,2,1,0,131625.14
772,1,1,47.0,9,152347.01,1,0,1,17671.78
628,3,2,51.0,10,115280.49,2,0,0,12628.61
579,1,2,45.0,2,0.0,2,0,0,11514.39
676,1,2,34.0,1,63095.01,1,1,1,40645.81
411,1,1,29.0,0,59697.17,2,1,1,53483.21
547,3,1,49.0,8,121537.71,2,1,0,46521.45
727,3,2,31.0,3,82729.47,2,1,0,60212.51
722,3,2,40.0,6,89175.06,2,0,1,152883.95
500,2,2,50.0,5,0.0,4,1,1,83866.35
687,1,2,34.0,9,125474.44,1,1,0,198929.84
751,1,2,48.0,4,0.0,1,0,1,30165.06
564,1,2,33.0,4,135946.26,1,1,0,63170.0
545,3,1,53.0,5,114421.55,1,1,0,180598.28
561,2,1,34.0,4,85141.79,2,1,1,29217.37
571,3,1,37.0,9,139592.98,3,1,0,104152.65
844,1,1,18.0,2,160980.03,1,0,0,145936.28
642,2,2,36.0,6,0.0,2,1,1,97938.59
523,2,1,32.0,4,0.0,2,1,0,167848.02
575,1,1,46.0,1,0.0,2,1,1,65998.26
729,1,2,36.0,8,109106.8,1,0,0,121311.12
597,1,2,60.0,0,131778.08,1,0,0,10703.53
787,2,1,39.0,10,108935.39,1,1,1,101168.3
646,1,2,46.0,4,0.0,3,1,0,93251.42
544,1,2,21.0,10,161525.96,2,1,0,9262.77
738,1,1,35.0,5,161274.05,2,1,0,181429.87
581,1,1,54.0,4,89299.81,1,0,0,5558.47
673,1,1,65.0,0,0.0,1,1,1,85733.33
667,1,2,38.0,6,144432.04,1,1,1,73963.17
721,1,2,40.0,7,0.0,2,1,1,122580.48
548,2,1,33.0,6,0.0,1,1,1,31728.35
501,1,2,29.0,8,0.0,2,1,0,112664.24
490,1,1,39.0,1,0.0,3,1,0,171060.01
706,3,2,44.0,2,185932.18,2,1,0,65413.41
717,2,1,36.0,2,102989.83,2,0,1,49185.57
595,2,1,23.0,7,0.0,2,1,1,168085.97
730,2,1,62.0,2,0.0,2,1,1,186489.95
657,1,2,39.0,4,80293.81,1,1,0,97192.76
599,2,1,25.0,3,0.0,2,1,1,120790.02
619,1,2,33.0,2,167733.51,2,1,1,65222.48
639,1,2,31.0,3,98360.03,1,0,0,20973.8
504,1,1,42.0,3,134936.97,2,0,0,135178.91
694,2,1,38.0,7,121527.4,1,1,0,113481.02
451,3,2,38.0,9,61482.47,1,1,1,167538.66
667,2,2,40.0,1,146502.07,1,1,0,19162.89
762,2,2,19.0,6,0.0,2,1,0,55500.17
640,1,1,55.0,10,132436.34,1,1,0,978.66
556,1,2,46.0,10,0.0,2,0,0,109184.24
841,1,1,74.0,9,108131.53,1,0,1,60830.38
469,1,2,48.0,5,0.0,1,1,0,160529.71
579,3,1,41.0,0,141749.68,1,0,1,9201.53
774,1,1,40.0,9,93017.47,2,1,0,191608.97
642,1,1,26.0,0,0.0,1,0,0,47472.68
557,1,1,42.0,6,177822.03,1,1,0,150944.31
711,3,2,45.0,1,97486.15,2,1,0,50610.62
642,1,1,30.0,8,80964.57,2,1,0,174738.2
634,3,1,27.0,3,107027.52,1,1,0,173425.68
826,2,2,29.0,4,129938.07,1,0,1,190200.53
430,1,1,35.0,1,118894.22,1,0,0,2923.61
733,1,2,28.0,5,0.0,2,0,0,12761.16
632,1,1,42.0,4,126115.6,1,1,0,100998.5
539,2,1,38.0,6,0.0,1,1,1,152880.07
614,2,2,41.0,7,179915.85,1,0,0,14666.35
706,2,1,20.0,8,0.0,2,1,1,12368.11
640,3,2,30.0,5,32197.64,1,0,1,141446.01
711,3,1,43.0,2,39043.29,2,1,1,175423.69
703,1,2,41.0,6,109941.51,1,1,0,116267.28
661,3,2,47.0,0,109493.62,1,0,0,188324.01
663,1,1,43.0,4,87624.03,2,1,0,149401.33
568,1,1,33.0,7,0.0,2,1,0,143450.61
727,3,1,39.0,5,80615.46,2,0,0,180962.32
677,2,2,34.0,10,171671.9,1,1,1,50777.77
557,1,1,36.0,3,0.0,1,0,1,144078.02
640,2,1,39.0,3,0.0,1,1,1,105997.25
551,1,1,35.0,7,129717.3,2,0,0,86937.2
575,2,1,52.0,8,123925.23,1,0,0,111342.66
606,1,1,40.0,6,119501.88,2,1,0,46774.94
711,3,2,53.0,5,123805.03,1,1,0,102428.51
850,1,1,28.0,8,67639.56,2,1,1,194245.29
633,1,1,31.0,1,0.0,1,1,0,48606.71
646,3,2,29.0,4,105957.44,1,1,0,15470.91
626,1,1,38.0,7,141074.59,1,1,0,52795.56
716,1,2,40.0,3,0.0,2,0,1,167636.15
779,3,2,37.0,2,128389.63,1,1,1,6589.16
635,2,2,32.0,8,0.0,2,1,1,19367.98
775,2,1,27.0,4,0.0,1,1,1,40807.26
678,1,1,26.0,5,111128.04,1,1,0,60941.27
839,1,2,51.0,3,0.0,1,1,1,69101.23
692,1,2,31.0,2,0.0,2,1,0,91829.17
499,1,2,21.0,3,176511.08,1,1,1,153920.22
530,1,2,34.0,8,0.0,2,0,1,141872.52
548,1,2,33.0,1,80107.83,2,0,1,82245.67
537,3,2,41.0,3,138306.34,1,1,0,106761.47
678,3,1,48.0,2,101099.9,2,0,1,193476.04
533,3,1,43.0,4,80442.06,2,0,1,12537.42
723,1,2,20.0,4,0.0,2,1,1,140385.33
544,1,1,38.0,8,0.0,1,1,1,98208.62
847,2,1,31.0,5,0.0,2,1,1,76326.67
575,3,1,47.0,9,107915.94,2,1,1,63452.18
574,2,1,34.0,5,0.0,2,0,0,28269.86
572,2,1,31.0,5,98108.79,1,0,1,119996.95
718,1,2,31.0,1,152663.77,1,0,1,17128.64
637,3,1,35.0,8,147127.81,2,1,1,84760.7
704,2,2,24.0,2,0.0,1,1,0,35600.25
645,3,1,33.0,8,149564.61,1,0,0,149913.84
597,3,2,35.0,8,131101.04,1,1,1,192852.67
598,1,1,35.0,8,114212.6,1,1,1,74322.85
703,2,1,31.0,6,0.0,2,1,1,67667.19
724,1,1,34.0,2,154485.74,2,0,0,78560.64
613,2,1,37.0,3,171653.17,1,0,1,5353.12
696,1,2,30.0,8,0.0,2,1,1,196134.44
813,2,1,27.0,1,137275.36,1,0,1,115733.16
714,1,2,26.0,9,89928.99,1,1,0,46203.31
794,2,2,37.0,9,0.0,2,1,0,68008.85
687,2,2,36.0,5,0.0,1,1,0,17696.22
598,1,1,64.0,1,0.0,2,1,0,195635.3
773,1,1,41.0,4,0.0,2,1,1,24924.92
545,3,2,37.0,8,114754.08,1,1,0,136050.44
632,2,2,39.0,5,97854.37,2,1,0,93536.38
826,2,2,56.0,8,174506.1,2,0,1,161802.82
535,2,2,50.0,1,140292.58,3,0,0,69531.22
572,2,1,35.0,4,152390.26,1,1,0,128123.66
706,2,1,30.0,6,87609.68,2,0,0,137674.55
694,1,1,30.0,10,144684.03,1,1,1,31805.49
575,2,1,30.0,2,0.0,2,1,1,82222.86
626,1,2,44.0,10,81553.93,1,1,0,20063.63
645,1,2,37.0,1,0.0,2,1,1,68987.55
758,1,2,32.0,2,84378.9,1,1,1,75396.43
559,1,1,62.0,6,118756.62,1,1,1,20367.68
696,3,1,31.0,3,150604.52,1,0,0,5566.6
480,3,1,44.0,10,129608.57,1,1,0,5472.7
567,1,1,36.0,1,0.0,2,0,0,8555.73
720,3,2,29.0,7,106230.92,1,1,1,69903.93
528,3,2,62.0,7,133201.17,1,0,0,168507.68
687,3,2,27.0,9,152328.88,2,0,0,126494.82
531,1,2,37.0,1,0.0,1,1,0,4606.97
548,1,2,35.0,10,0.0,1,1,1,31299.71
738,1,1,26.0,9,0.0,2,1,1,48644.94
615,1,1,30.0,8,0.0,2,0,0,3183.15
561,2,1,28.0,6,123692.0,1,1,1,70548.96
652,3,1,45.0,2,151421.44,1,0,1,115333.43
850,2,2,57.0,8,126776.3,2,1,1,132298.49
719,2,1,40.0,4,128389.12,1,1,1,176091.31
476,1,1,40.0,6,0.0,1,1,1,22735.45
669,3,1,47.0,0,63723.78,2,1,1,181928.25
590,2,1,34.0,0,65812.35,2,0,1,160346.3
500,1,2,34.0,6,0.0,1,1,1,140268.45
619,1,2,35.0,4,90413.12,1,1,1,20555.21
497,1,2,29.0,4,85646.81,1,0,0,63233.02
715,1,2,32.0,10,0.0,2,1,0,60907.49
